DLY-TMAX-NORMAL,STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-TMIN-NORMAL,MTD-PRCP-NORMAL
145,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100101,-33,2
144,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100102,-35,4
143,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100103,-36,5
142,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100104,-38,7
141,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100105,-39,9
140,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100106,-41,10
140,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100107,-42,12
139,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100108,-43,13
139,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100109,-44,15
139,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100110,-45,17
138,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100111,-45,19
139,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100112,-46,21
139,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100113,-47,23
139,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100114,-47,25
140,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100115,-47,27
140,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100116,-47,30
141,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100117,-48,32
142,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100118,-48,34
143,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100119,-47,35
144,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100120,-47,37
145,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100121,-47,39
146,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100122,-46,41
148,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100123,-46,43
149,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100124,-45,44
151,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100125,-44,46
152,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100126,-43,47
154,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100127,-42,49
156,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100128,-41,50
158,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100129,-40,52
160,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100130,-38,54
162,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100131,-37,55
164,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100201,-35,1
166,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100202,-33,3
169,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100203,-31,4
171,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100204,-29,6
173,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100205,-27,7
176,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100206,-25,8
178,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100207,-22,10
181,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100208,-20,11
